filename	umap_x	umap_y	tsne_x	tsne_y	x	y	mask_grid_x	mask_grid_y
22. 220px-yellow-banded.poison.dart.frog.arp.jpg	44.125305	46.689896	-0.51689315	13.558032	44.125305	46.689896	19.404255319148938	47.824561403508774
94. process-sm-1.png	45.55797	41.489086	22.383223	41.12373	45.55797	41.489086	32.68085106382979	9.157894736842104
28. frog-black-silhouette-clip-art-vector_csp5914186.jpg	44.651505	43.005478	13.805918	27.453955	44.651505	43.005478	29.617021276595743	26.456140350877195
27. lemurtreefrog-reverse.jpg	43.235157	41.714664	14.641039	-10.010009	43.235157	41.714664	25.531914893617028	23.403508771929822
14. ashish_thomas_purple_frogfig-2.jpg	47.2732	45.83771	-39.01072	-4.199872	47.2732	45.83771	46.97872340425532	38.666666666666664
81. the-little-blue-frog.jpg	42.159283	45.436638	3.7474525	25.102476	42.159283	45.436638	12.255319148936172	44.771929824561404
62. polka-dot-tree-frog.jpg	43.265163	42.26463	10.800458	-7.0202775	43.265163	42.26463	24.510638297872344	24.421052631578945
50. maxresdefault.jpg	42.801453	43.88069	4.547749	-3.5917795	42.801453	43.88069	17.361702127659576	31.54385964912281
18. litoria_infrafrenata_-_julatten.jpg	43.333553	41.442257	17.168936	-11.892587	43.333553	41.442257	29.617021276595743	13.228070175438598
93. check-out-our-awesome.jpg	45.35206	40.980602	-2.0420809	-26.201519	45.35206	40.980602	33.70212765957447	4.0701754385964914
19. 220px-redfrogevents_logo_vert.jpg	45.485794	41.05336	-4.34486	-24.9456	45.485794	41.05336	33.70212765957447	5.087719298245614
81. rayna_bell_-_litoria_revelata-040.jpg	42.012966	41.73472	20.466043	-3.7089498	42.012966	41.73472	6.127659574468086	15.26315789473684
68. frogsfamily170g__63582.1517985877.220.220.jpg	45.51267	41.783653	-14.396505	-25.79115	45.51267	41.783653	33.70212765957447	20.350877192982455
19. 59ae8ddef2af6.jpg	42.235783	42.264526	12.638494	-18.235058	42.235783	42.264526	14.297872340425531	24.421052631578945
6. 749475_894362-blue-frog-e1503073575106.jpg	40.3671	44.431267	23.490957	13.537331	40.3671	44.431267	9.191489361702128	43.754385964912274
4. female-purple-frog.jpg	47.837925	45.071095	-47.34803	2.880803	47.837925	45.071095	46.97872340425532	38.666666666666664
91. poison-frog-mimics.jpg	44.444065	45.644093	-7.5745044	9.192915	44.444065	45.644093	27.574468085106382	36.63157894736842
44. 77814_1.jpg	46.00231	43.030277	-23.61246	-6.506857	46.00231	43.030277	35.74468085106383	26.456140350877195
84. closeup-of-frog-on-fresh-wet-pink-rose-picture-id627773901?s=612x612.jpg	43.997524	43.334164	-0.43110898	-8.870175	43.997524	43.334164	26.55319148936171	28.49122807017544
38. il_fullxfull.1430331198_2e1a.jpg	40.617928	44.653038	-0.6873267	-17.43052	40.617928	44.653038	9.191489361702128	44.771929824561404
29. yellow-frog.jpg	42.91416	42.456043	10.862526	-5.5967937	42.91416	42.456043	19.404255319148938	26.456140350877195
56. frog.png	45.417923	40.748013	-0.15967938	-29.600164	45.417923	40.748013	31.65957446808511	1.0175438596491229
32. amphibians_green_tree_frog.jpg	43.250328	41.617523	16.112686	-7.8083024	43.250328	41.617523	28.595744680851062	16.280701754385966
69. 91n6i6vpc2l._sx425_.jpg	44.09915	42.82322	6.5081277	-39.5067	44.09915	42.82322	27.574468085106382	26.456140350877195
58. purplefrog_copy_1_31718.jpg	47.18256	45.14826	-44.25293	-3.631146	47.18256	45.14826	38.808510638297875	37.64912280701754
74. kc-zoo-bluedartfrog5.jpg	41.975857	45.44889	5.1443086	22.555197	41.975857	45.44889	11.23404255319149	44.771929824561404
24. totally-blue-frog-on-a-vine-nick-gustafson.jpg	44.37496	43.361023	-17.767319	-2.2304869	44.37496	43.361023	28.595744680851062	28.49122807017544
15. 0830_blue%20frog.jpg	39.451557	44.932465	41.160675	13.528944	39.451557	44.932465	0.0	51.89473684210526
64. image_74d4fe07-a0c2-4c42-a36f-1a17df66ae81_530x@2x.jpg	44.33524	41.70623	-10.640699	-35.006752	44.33524	41.70623	30.638297872340427	12.210526315789473
23. 001.jpg	46.971355	45.829533	-36.899487	-5.1874633	46.971355	45.829533	40.851063829787236	44.771929824561404
78. 166f9abe0fb840176b7cb466cfcbe2b1.jpg	42.05698	45.429577	4.562316	20.424334	42.05698	45.429577	11.23404255319149	43.754385964912274
5. hqdefault.jpg	44.458256	43.311672	16.890415	6.010391	44.458256	43.311672	28.595744680851062	27.473684210526315
45. 220px-phyllobates_terribilis_climbing_on_leaves.png	43.792843	45.830696	5.7429004	3.5932696	43.792843	45.830696	19.404255319148938	41.719298245614034
32. nasikabatrachus_sahyadrensis.jpg	47.709995	44.97798	-46.20202	1.666204	47.709995	44.97798	44.93617021276596	34.59649122807017
8. latest?cb=20150105104035.jpg	46.141205	42.67174	-18.653646	-5.3225384	46.141205	42.67174	35.74468085106383	24.421052631578945
66. 5ea32a5940f33680e632a09d0f87ccab.jpg	42.88933	45.5256	-1.9465379	31.34064	42.88933	45.5256	16.340425531914896	41.719298245614034
20. rana-clamitans03.jpg	39.49681	44.720917	38.58521	12.359234	39.49681	44.720917	3.063829787234043	50.87719298245613
100. 5_151-526-59b1c0d1a2e97-1.jpg	47.2806	45.248234	-43.20481	-5.0377154	47.2806	45.248234	40.851063829787236	39.68421052631579
24. golden_poison_dart_frog_photo.jpg	42.16846	42.09274	13.808166	-17.943027	42.16846	42.09274	14.297872340425531	22.385964912280702
29. blue-frog-lower-parel.jpg	45.579563	44.083656	-6.1579776	-15.913856	45.579563	44.083656	33.70212765957447	30.52631578947368
23. yellow%20terribilis%20small-01.jpg	42.15664	42.087605	14.633939	-19.325626	42.15664	42.087605	13.276595744680854	22.385964912280702
66. sp_greentreefrog004.jpg	43.018013	41.463024	18.328661	-9.708285	43.018013	41.463024	28.595744680851062	14.24561403508772
32. red-frogs-everywhere.jpg	44.414925	41.751717	-11.480183	-35.6439	44.414925	41.751717	29.617021276595743	18.31578947368421
91. indian-purple-frog.jpg	47.572937	44.99238	-45.032146	-2.33609	47.572937	44.99238	42.8936170212766	35.6140350877193
44. dyeingpoisonfrog_gallery.jpg	43.62271	46.54849	3.654049	10.530947	43.62271	46.54849	10.212765957446809	55.96491228070175
62. frog-e1417671156952.png	42.02421	42.085686	19.358099	-1.7023109	42.02421	42.085686	9.191489361702128	18.31578947368421
47. blue-frog-mumbai-759.jpg	45.575794	44.087227	-5.699905	-15.989857	45.575794	44.087227	32.68085106382979	30.52631578947368
9. 1200px-oophaga_pumilio_%28strawberry_poision_frog%29_%282532163201%29.jpg	42.944042	43.85763	3.2873423	-1.9941695	42.944042	43.85763	18.382978723404257	31.54385964912281
74. ahr0cdovl3d3dy5saxzlc2npzw5jzs5jb20vaw1hz2vzl2kvmdawlza3nc84mtkvb3jpz2luywwvsnvsawuttgfyc2vulu1hagvyltmymtytugfuyw1hbmlhbi1hb2xkzw4trnjvzy13axrolvrvywrszxqtmditmtmtmdktahiuanbn.jpg	43.4857	46.001934	2.0591066	13.299471	43.4857	46.001934	17.361702127659576	43.754385964912274
91. blue%20frog-club-delhi%203.jpg	45.43678	44.01095	-4.8169127	-13.797648	45.43678	44.01095	30.638297872340427	29.508771929824558
11. 5994989ff42c36f535c19a850116c3a1.jpg	46.355007	45.23532	-34.264896	2.0857737	46.355007	45.23532	33.70212765957447	33.57894736842105
62. 7980962-3x2-700x467.jpg	40.68094	43.06359	28.5033	5.7041044	40.68094	43.06359	8.170212765957448	20.350877192982455
79. ?format=original.jpg	42.48457	45.384613	0.91513366	20.074219	42.48457	45.384613	15.319148936170214	41.719298245614034
54. 1-thisdanceist.jpg	42.44313	40.81095	21.66846	-18.800528	42.44313	40.81095	46.97872340425532	38.666666666666664
17. litoria%20caerulea,%20scotts%20head,%20nsw-3_big.jpg	43.692978	42.254303	5.904773	-9.712058	43.692978	42.254303	26.55319148936171	24.421052631578945
50. bb.green%2bfrog.jpg	44.098343	42.739677	6.5090623	-39.50534	44.098343	42.739677	27.574468085106382	25.438596491228065
61. rockhole.jpg	40.96568	43.11185	26.74873	3.5899715	40.96568	43.11185	13.276595744680854	25.438596491228065
19. brown_tree_frog.jpg	40.362362	43.231575	28.827335	9.344411	40.362362	43.231575	8.170212765957448	22.385964912280702
99. blue-frog-services.png	45.230907	41.01655	-0.7075287	-23.804316	45.230907	41.01655	32.68085106382979	3.052631578947368
12. boophis-pyrrhus-3-660x330.jpg	43.704617	43.78847	-1.2262148	-4.9623404	43.704617	43.78847	24.510638297872344	29.508771929824558
80. -dainty-green-tree-frog-75mm-6-.jpg	43.63634	41.876816	9.168486	-10.764367	43.63634	41.876816	29.617021276595743	20.350877192982455
16. strawberry-poison-frog-ecology-95_3-ra-saporito.jpg	42.855656	43.986828	2.5394526	-0.9196859	42.855656	43.986828	18.382978723404257	32.56140350877193
25. 1200px-oophaga_pumilio_%28strawberry_poision_frog%29_%282532163201%29.jpg	43.071167	43.998035	3.2875535	-1.9937218	43.071167	43.998035	20.425531914893618	31.54385964912281
98. 2157cc1f337a2df.jpg	47.211338	44.230034	-25.667612	-19.759706	47.211338	44.230034	41.87234042553192	26.456140350877195
33. green_treefrog.jpg	43.56975	41.75382	11.241338	-9.340662	43.56975	41.75382	29.617021276595743	19.333333333333332
69. bacb549805bb68ae5dde716cb3a1628b.jpg	46.667744	42.517265	-24.210903	-19.25823	46.667744	42.517265	40.851063829787236	23.403508771929822
32. green%20tree%20frog005_big.jpg	42.73819	42.1606	14.060991	-2.5788379	42.73819	42.1606	17.361702127659576	23.403508771929822
69. 220px-purple_frog_tadpole_by_nihal_jabin.jpg	39.940067	45.017994	41.208553	17.149343	39.940067	45.017994	6.127659574468086	51.89473684210526
38. indian%2bpurple%2bfrog.jpg	47.090694	45.225445	-43.781143	-3.7598925	47.090694	45.225445	37.787234042553195	37.64912280701754
59. 220px-golden_poison_dart_frog_phyllobates_terribilis.jpg	42.90149	42.539333	8.704433	-14.759454	42.90149	42.539333	18.382978723404257	26.456140350877195
97. goldenfrogs.jpg	43.391464	43.64296	-4.088728	-4.5396924	43.391464	43.64296	22.46808510638298	30.52631578947368
19. 3717200791_ce4294c7d4_b.jpg	42.19961	42.06494	14.916106	-17.415754	42.19961	42.06494	15.319148936170214	22.385964912280702
78. 10948601813_aa3da4cc29_b.jpg	44.235405	45.858234	-4.39315	7.4437256	44.235405	45.858234	24.510638297872344	37.64912280701754
89. hyla-arborea.jpg	42.782677	41.19934	17.549776	-10.838	42.782677	41.19934	46.97872340425532	38.666666666666664
5. p01xttc5.jpg	47.228622	44.975487	-44.03112	0.3089285	47.228622	44.975487	37.787234042553195	29.508771929824558
6. dd8a8602cd9a5d6867bdde2f7595444d_zps0861d1eb.jpg	41.992245	42.907234	20.705038	-22.721867	41.992245	42.907234	15.319148936170214	27.473684210526315
13. nasikabatrachus_sahyadrensis08.jpg	47.546062	44.947533	-47.253666	-2.9050584	47.546062	44.947533	43.91489361702128	33.57894736842105
81. trance-black-frog.jpg	45.291992	43.42339	-23.34941	4.1640835	45.291992	43.42339	32.68085106382979	28.49122807017544
67. p46790-15379452635bab2eaf72546.jpg	46.148838	44.59099	-37.19123	10.725309	46.148838	44.59099	33.70212765957447	31.54385964912281
7. green-frog-1.jpg	42.982834	40.81745	20.288555	-13.645955	42.982834	40.81745	46.97872340425532	38.666666666666664
42. serie-blue-frog-1653.jpg	45.583775	44.034904	-5.8923607	-17.13362	45.583775	44.034904	33.70212765957447	29.508771929824558
90. brown-green-leopard-frog.jpg	39.556404	44.31352	35.7798	10.90586	39.556404	44.31352	7.148936170212766	44.771929824561404
87. 43764-004-0150d655.jpg	40.222885	43.120384	28.146715	19.625685	40.222885	43.120384	6.127659574468086	19.333333333333332
75. 51hbt-tkkbl._sx425_.jpg	46.369038	41.461967	-13.926708	-21.253717	46.369038	41.461967	37.787234042553195	8.140350877192983
81. a1-coqui-frog-dnlrphoto.jpg	40.718067	43.433014	24.50661	6.2068763	40.718067	43.433014	13.276595744680854	28.49122807017544
64. cute_black_frog_baby_t_shirt-rcf0b53c685384b1d899f8ab1bb865893_j2nhq_307.jpg	45.645443	40.85542	-4.270194	-29.95607	45.645443	40.85542	36.765957446808514	1.0175438596491229
9. 995744-small.jpg	42.598713	40.88408	21.886036	-11.565427	42.598713	40.88408	46.97872340425532	38.666666666666664
87. blue_frog_shirt-ra0654a9663c0488da17ae12115acea7a_k21h1_307.jpg	42.49274	44.570637	13.576032	7.696115	42.49274	44.570637	17.361702127659576	34.59649122807017
24. 3d-design-for-red-frog-eps-vector_csp51581287.jpg	44.310474	43.77158	-7.213434	-5.826598	44.310474	43.77158	27.574468085106382	29.508771929824558
96. s-l300.jpg	45.62732	43.281376	-24.430794	-31.334133	45.62732	43.281376	32.68085106382979	27.473684210526315
93. 685cad28522015a0f9ed253e963906cb?width=1024.jpg	42.875988	41.346428	17.022038	-14.51592	42.875988	41.346428	14.297872340425531	16.280701754385966
35. ava+pink+frog.jpg	46.78526	42.106068	-20.872213	-19.349298	46.78526	42.106068	40.851063829787236	21.36842105263158
2. pink-frog--73203.jpg	43.254925	42.509163	12.265204	-4.5591154	43.254925	42.509163	23.48936170212766	25.438596491228065
98. dainty-green-tree-frog.jpg	42.48549	41.141743	20.513256	-15.317832	42.48549	41.141743	10.212765957446809	12.210526315789473
49. az3mvm9_700b.jpg	47.301533	45.042038	-41.338062	-1.7806703	47.301533	45.042038	40.851063829787236	37.64912280701754
47. 149216302.jpg	42.130573	44.890705	4.1475596	17.149046	42.130573	44.890705	15.319148936170214	37.64912280701754
67. latest?cb=20111231180740.jpg	44.744858	45.96144	-3.8179967	3.215705	44.744858	45.96144	28.595744680851062	36.63157894736842
31. fowler-s-toad-c-lisa-perlick-usfws_small_landscape.jpg	39.837055	43.679157	27.982065	14.670451	39.837055	43.679157	8.170212765957448	26.456140350877195
46. litoria%20wilcoxi%20in%20amplexus,%20coomera%20river,%20lamington%20np,%20qld_5_big.jpg	42.38479	40.93957	18.848919	-18.291626	42.38479	40.93957	46.97872340425532	38.666666666666664
59. red-misbehavior-frog-hi.png	45.849663	41.1154	-7.745743	-23.690786	45.849663	41.1154	35.74468085106383	5.087719298245614
84. 092117_lh_posion-frog_main.jpg	43.903465	45.69538	7.220533	4.8979983	43.903465	45.69538	20.425531914893618	38.666666666666664
94. 89028-6.jpg	42.87418	45.32363	-0.6151329	29.87203	42.87418	45.32363	17.361702127659576	39.68421052631579
67. 75342.jpg	43.46722	41.683212	12.751317	-10.327832	43.46722	41.683212	29.617021276595743	17.298245614035086
37. cute-green-frog-toy-3468x2306_91186.jpg	44.016373	43.442978	-12.241821	-3.3534184	44.016373	43.442978	26.55319148936171	29.508771929824558
38. 170925-frog-full.jpg	43.688087	45.101994	-7.569516	15.119972	43.688087	45.101994	21.4468085106383	36.63157894736842
50. brown-tree-frog.png	42.917866	42.245434	13.645543	-5.430008	42.917866	42.245434	21.4468085106383	24.421052631578945
15. 13912405_1201857153169265_1680708424860948364_n.jpg	47.41942	45.219246	-44.12841	-1.6013478	47.41942	45.219246	41.87234042553192	38.666666666666664
10. original.jpg	42.830647	41.00567	18.389595	-13.653608	42.830647	41.00567	46.97872340425532	38.666666666666664
91. 28bd3f_a2653a2579f249c0b47b3819d3160878.jpg	45.59861	40.98913	-3.3797004	-26.602201	45.59861	40.98913	35.74468085106383	3.052631578947368
16. agalychnis-annae.jpg	42.835293	40.811825	21.411558	-13.715283	42.835293	40.811825	46.97872340425532	38.666666666666664
8. 1417354961_blue-frog.jpg	41.512505	45.552097	13.356268	21.828323	41.512505	45.552097	5.1063829787234045	55.96491228070175
